Tile RAmin RAmax DECmin DECmax
KIDS_194p5_m2p5 194.038997215 195.041782729 -2.972525 -1.983515
KIDS_195p5_m2p5 195.041782729 196.044568245 -2.972525 -1.983515
KIDS_196p5_m2p5 196.044568245 197.047353761 -2.972525 -1.983515
KIDS_197p5_m2p5 197.047353761 198.050139275 -2.972525 -1.983515
KIDS_198p6_m2p5 198.050139275 199.052924791 -2.972525 -1.983515
KIDS_199p6_m2p5 199.052924791 200.055710307 -2.972525 -1.983515
KIDS_203p6_m2p5 203.064066852 204.066852367 -2.972525 -1.983515
KIDS_205p6_m2p5 205.069637883 206.072423399 -2.972525 -1.983515
KIDS_207p6_m2p5 207.075208914 208.077994429 -2.972525 -1.983515
KIDS_208p6_m2p5 208.077994429 209.080779944 -2.972525 -1.983515
KIDS_209p6_m2p5 209.080779944 210.083565459 -2.972525 -1.983515
KIDS_225p6_m2p5 225.12534819 226.128133704 -2.972525 -1.983515
KIDS_226p6_m2p5 226.128133704 227.13091922 -2.972525 -1.983515
KIDS_227p6_m2p5 227.13091922 228.133704736 -2.972525 -1.983515
KIDS_228p6_m2p5 228.133704736 229.136490251 -2.972525 -1.983515
KIDS_229p6_m2p5 229.136490251 230.139275766 -2.972525 -1.983515
KIDS_230p6_m2p5 230.139275766 231.142061281 -2.972525 -1.983515
KIDS_231p6_m2p5 231.142061281 232.144846796 -2.972525 -1.983515
KIDS_232p6_m2p5 232.144846796 233.147632312 -2.972525 -1.983515
KIDS_233p6_m2p5 233.147632312 234.150417828 -2.972525 -1.983515
KIDS_234p7_m2p5 234.150417828 235.153203343 -2.972525 -1.983515
KIDS_235p7_m2p5 235.153203343 236.155988858 -2.972525 -1.983515
KIDS_236p7_m2p5 236.155988858 237.158774373 -2.972525 -1.983515
KIDS_237p7_m2p5 237.158774373 238.170644487 -2.972525 -1.983515
KIDS_162p0_m1p5 161.5 162.5 -1.983515 -0.994505
KIDS_166p0_m1p5 165.5 166.5 -1.983515 -0.994505
KIDS_170p0_m1p5 169.5 170.5 -1.983515 -0.994505
KIDS_171p0_m1p5 170.5 171.5 -1.983515 -0.994505
KIDS_188p0_m1p5 187.5 188.5 -1.983515 -0.994505
KIDS_189p0_m1p5 188.5 189.5 -1.983515 -0.994505
KIDS_190p0_m1p5 189.5 190.5 -1.983515 -0.994505
KIDS_191p0_m1p5 190.5 191.5 -1.983515 -0.994505
KIDS_192p0_m1p5 191.5 192.5 -1.983515 -0.994505
KIDS_193p0_m1p5 192.5 193.5 -1.983515 -0.994505
KIDS_194p0_m1p5 193.5 194.5 -1.983515 -0.994505
KIDS_195p0_m1p5 194.5 195.5 -1.983515 -0.994505
KIDS_196p0_m1p5 195.5 196.5 -1.983515 -0.994505
KIDS_197p0_m1p5 196.5 197.5 -1.983515 -0.994505
KIDS_198p0_m1p5 197.5 198.5 -1.983515 -0.994505
KIDS_199p0_m1p5 198.5 199.5 -1.983515 -0.994505
KIDS_200p0_m1p5 199.5 200.5 -1.983515 -0.994505
KIDS_201p0_m1p5 200.5 201.5 -1.983515 -0.994505
KIDS_202p0_m1p5 201.5 202.5 -1.983515 -0.994505
KIDS_203p0_m1p5 202.5 203.5 -1.983515 -0.994505
KIDS_210p0_m0p5 209.5 210.5 -0.994505 0
KIDS_202p0_0p5 201.5 202.5 0 0.9945054945
KIDS_205p0_0p5 204.5 205.5 0 0.9945054945
KIDS_195p0_1p5 194.5 195.5 0.9945054945 1.983515
KIDS_156p4_2p5 155.924063033 156.935933148 1.983515 2.972525
KIDS_162p5_2p5 161.949860725 162.952646239 1.983515 2.972525
KIDS_163p5_2p5 162.952646239 163.955431755 1.983515 2.972525
KIDS_164p5_2p5 163.955431755 164.958217271 1.983515 2.972525
KIDS_165p5_2p5 164.958217271 165.961002785 1.983515 2.972525
KIDS_171p5_2p5 170.974930362 171.977715878 1.983515 2.972525
KIDS_204p6_2p5 204.066852368 205.069637883 1.983515 2.972525
KIDS_206p6_2p5 206.072423399 207.075208913 1.983515 2.972525
KIDS_207p6_2p5 207.075208913 208.077994429 1.983515 2.972525
KIDS_208p6_2p5 208.077994429 209.080779944 1.983515 2.972525
KIDS_229p6_2p5 229.136490251 230.139275766 1.983515 2.972525
KIDS_156p4_3p5 155.923605257 156.935933148 2.972525 3.961535
KIDS_157p4_3p5 156.935933148 157.938718663 2.972525 3.961535
KIDS_158p4_3p5 157.938718663 158.941504178 2.972525 3.961535
KIDS_159p4_3p5 158.941504178 159.944289693 2.972525 3.961535
KIDS_160p4_3p5 159.944289693 160.947075209 2.972525 3.961535
KIDS_161p4_3p5 160.947075209 161.949860725 2.972525 3.961535
KIDS_162p5_3p5 161.949860725 162.952646239 2.972525 3.961535
KIDS_163p5_3p5 162.952646239 163.955431755 2.972525 3.961535
KIDS_164p5_3p5 163.955431755 164.958217271 2.972525 3.961535
KIDS_165p5_3p5 164.958217271 165.961002785 2.972525 3.961535
KIDS_166p5_3p5 165.961002785 166.9637883 2.972525 3.961535
KIDS_167p5_3p5 166.9637883 167.966573816 2.972525 3.961535
KIDS_168p5_3p5 167.966573816 168.969359332 2.972525 3.961535
KIDS_169p5_3p5 168.969359332 169.972144846 2.972525 3.961535
KIDS_170p5_3p5 169.972144846 170.974930362 2.972525 3.961535
KIDS_171p5_3p5 170.974930362 171.977715878 2.972525 3.961535
KIDS_172p5_3p5 171.977715878 172.980501393 2.972525 3.961535
KIDS_173p5_3p5 172.980501393 173.983286908 2.972525 3.961535
KIDS_174p5_3p5 173.983286908 174.986072423 2.972525 3.961535
KIDS_175p5_3p5 174.986072423 175.988857938 2.972525 3.961535
KIDS_176p5_3p5 175.988857938 176.991643454 2.972525 3.961535
KIDS_177p5_3p5 176.991643454 177.99442897 2.972525 3.961535
KIDS_178p5_3p5 177.99442897 178.997214485 2.972525 3.961535
KIDS_179p5_3p5 178.997214485 180 2.972525 3.961535
KIDS_180p5_3p5 180 181.002785515 2.972525 3.961535
KIDS_181p5_3p5 181.002785515 182.00557103 2.972525 3.961535
KIDS_182p5_3p5 182.00557103 183.008356546 2.972525 3.961535
KIDS_183p5_3p5 183.008356546 184.011142062 2.972525 3.961535
KIDS_184p5_3p5 184.011142062 185.013927577 2.972525 3.961535
KIDS_185p5_3p5 185.013927577 186.016713092 2.972525 3.961535
KIDS_186p5_3p5 186.016713092 187.019498607 2.972525 3.961535
KIDS_187p5_3p5 187.019498607 188.022284122 2.972525 3.961535
KIDS_188p5_3p5 188.022284122 189.025069638 2.972525 3.961535
KIDS_189p5_3p5 189.025069638 190.027855154 2.972525 3.961535
KIDS_190p5_3p5 190.027855154 191.030640668 2.972525 3.961535
KIDS_191p5_3p5 191.030640668 192.033426184 2.972525 3.961535
KIDS_192p5_3p5 192.033426184 193.0362117 2.972525 3.961535
KIDS_193p5_3p5 193.0362117 194.038997215 2.972525 3.961535
KIDS_194p5_3p5 194.038997215 195.041782729 2.972525 3.961535
KIDS_195p5_3p5 195.041782729 196.044568245 2.972525 3.961535
KIDS_196p5_3p5 196.044568245 197.047353761 2.972525 3.961535
KIDS_197p5_3p5 197.047353761 198.050139275 2.972525 3.961535
KIDS_198p6_3p5 198.050139275 199.052924791 2.972525 3.961535
KIDS_199p6_3p5 199.052924791 200.055710307 2.972525 3.961535
KIDS_200p6_3p5 200.055710307 201.058495822 2.972525 3.961535
KIDS_201p6_3p5 201.058495822 202.061281337 2.972525 3.961535
KIDS_202p6_3p5 202.061281337 203.064066852 2.972525 3.961535
KIDS_203p6_3p5 203.064066852 204.066852367 2.972525 3.961535
KIDS_204p6_3p5 204.066852367 205.069637883 2.972525 3.961535
KIDS_205p6_3p5 205.069637883 206.072423399 2.972525 3.961535
KIDS_206p6_3p5 206.072423399 207.075208914 2.972525 3.961535
KIDS_207p6_3p5 207.075208914 208.077994429 2.972525 3.961535
KIDS_208p6_3p5 208.077994429 209.080779944 2.972525 3.961535
KIDS_209p6_3p5 209.080779944 210.083565459 2.972525 3.961535
KIDS_210p6_3p5 210.083565459 211.086350975 2.972525 3.961535
KIDS_211p6_3p5 211.086350975 212.089136491 2.972525 3.961535
KIDS_212p6_3p5 212.089136491 213.091922006 2.972525 3.961535
KIDS_213p6_3p5 213.091922006 214.094707521 2.972525 3.961535
KIDS_214p6_3p5 214.094707521 215.097493036 2.972525 3.961535
KIDS_215p6_3p5 215.097493036 216.100278551 2.972525 3.961535
KIDS_216p6_3p5 216.100278551 217.103064067 2.972525 3.961535
KIDS_217p6_3p5 217.103064067 218.105849583 2.972525 3.961535
KIDS_218p6_3p5 218.105849583 219.108635097 2.972525 3.961535
KIDS_219p6_3p5 219.108635097 220.111420613 2.972525 3.961535
KIDS_220p6_3p5 220.111420613 221.114206128 2.972525 3.961535
KIDS_221p6_3p5 221.114206128 222.116991644 2.972525 3.961535
KIDS_222p6_3p5 222.116991644 223.119777158 2.972525 3.961535
KIDS_223p6_3p5 223.119777158 224.122562674 2.972525 3.961535
KIDS_224p6_3p5 224.122562674 225.12534819 2.972525 3.961535
KIDS_225p6_3p5 225.12534819 226.128133704 2.972525 3.961535
KIDS_226p6_3p5 226.128133704 227.13091922 2.972525 3.961535
KIDS_227p6_3p5 227.13091922 228.133704736 2.972525 3.961535
KIDS_228p6_3p5 228.133704736 229.136490251 2.972525 3.961535
KIDS_229p6_3p5 229.136490251 230.139275766 2.972525 3.961535
KIDS_230p6_3p5 230.139275766 231.142061281 2.972525 3.961535
KIDS_231p6_3p5 231.142061281 232.144846796 2.972525 3.961535
KIDS_232p6_3p5 232.144846796 233.147632312 2.972525 3.961535
KIDS_233p6_3p5 233.147632312 234.150417828 2.972525 3.961535
KIDS_234p7_3p5 234.150417828 235.153203343 2.972525 3.961535
KIDS_235p7_3p5 235.153203343 236.155988858 2.972525 3.961535
KIDS_236p7_3p5 236.155988858 237.158774373 2.972525 3.961535
KIDS_237p7_3p5 237.158774373 238.171102264 2.972525 3.961535
