Tile RAmin RAmax DECmin DECmax
KIDS_1p1_m27p2 0.5607476635 1.6822429905 -27.6978 -26.7088
KIDS_2p2_m27p2 1.6822429905 2.8037383175 -27.6978 -26.7088
KIDS_3p4_m27p2 2.8037383175 3.9252336445 -27.6978 -26.7088
KIDS_4p5_m27p2 3.9252336445 5.046728972 -27.6978 -26.7088
KIDS_5p6_m27p2 5.046728972 6.1682242995 -27.6978 -26.7088
KIDS_6p7_m27p2 6.1682242995 7.2897196265 -27.6978 -26.7088
KIDS_7p9_m27p2 7.2897196265 8.4112149535 -27.6978 -26.7088
KIDS_9p0_m27p2 8.4112149535 9.5327102805 -27.6978 -26.7088
KIDS_10p1_m27p2 9.5327102805 10.6542056075 -27.6978 -26.7088
KIDS_11p2_m27p2 10.6542056075 11.7757009345 -27.6978 -26.7088
KIDS_12p3_m27p2 11.7757009345 12.8971962615 -27.6978 -26.7088
KIDS_13p5_m27p2 12.8971962615 14.0186915885 -27.6978 -26.7088
KIDS_14p6_m27p2 14.0186915885 15.1401869155 -27.6978 -26.7088
KIDS_15p7_m27p2 15.1401869155 16.2616822425 -27.6978 -26.7088
KIDS_16p8_m27p2 16.2616822425 17.38317757 -27.6978 -26.7088
KIDS_17p9_m27p2 17.38317757 18.5046728975 -27.6978 -26.7088
KIDS_19p1_m27p2 18.5046728975 19.6261682245 -27.6978 -26.7088
KIDS_20p2_m27p2 19.6261682245 20.7476635515 -27.6978 -26.7088
KIDS_21p3_m27p2 20.7476635515 21.8691588785 -27.6978 -26.7088
KIDS_22p4_m27p2 21.8691588785 22.9906542055 -27.6978 -26.7088
KIDS_23p6_m27p2 22.9906542055 24.1121495325 -27.6978 -26.7088
KIDS_24p7_m27p2 24.1121495325 25.2336448595 -27.6978 -26.7088
KIDS_25p8_m27p2 25.2336448595 26.3551401865 -27.6978 -26.7088
KIDS_26p9_m27p2 26.3551401865 27.476635514 -27.6978 -26.7088
KIDS_28p0_m27p2 27.476635514 28.5981308415 -27.6978 -26.7088
KIDS_29p2_m27p2 28.5981308415 29.7196261685 -27.6978 -26.7088
KIDS_30p3_m27p2 29.7196261685 30.8411214955 -27.6978 -26.7088
KIDS_31p4_m27p2 30.8411214955 31.9626168225 -27.6978 -26.7088
KIDS_32p5_m27p2 31.9626168225 33.0841121495 -27.6978 -26.7088
KIDS_33p6_m27p2 33.0841121495 34.2056074765 -27.6978 -26.7088
KIDS_34p8_m27p2 34.2056074765 35.3271028035 -27.6978 -26.7088
KIDS_35p9_m27p2 35.3271028035 36.4485981305 -27.6978 -26.7088
KIDS_37p0_m27p2 36.4485981305 37.5700934575 -27.6978 -26.7088
KIDS_38p1_m27p2 37.5700934575 38.691588785 -27.6978 -26.7088
KIDS_39p3_m27p2 38.691588785 39.8130841125 -27.6978 -26.7088
KIDS_40p4_m27p2 39.8130841125 40.9345794395 -27.6978 -26.7088
KIDS_41p5_m27p2 40.9345794395 42.0560747665 -27.6978 -26.7088
KIDS_42p6_m27p2 42.0560747665 43.1775700935 -27.6978 -26.7088
KIDS_43p7_m27p2 43.1775700935 44.2990654205 -27.6978 -26.7088
KIDS_48p2_m27p2 47.6635514015 48.7850467285 -27.6978 -26.7088
KIDS_333p1_m27p2 332.523364486 333.644859814 -27.6978 -26.7088
KIDS_335p3_m27p2 334.76635514 335.887850468 -27.6978 -26.7088
KIDS_336p4_m27p2 335.887850468 337.009345795 -27.6978 -26.7088
KIDS_338p7_m27p2 338.130841121 339.252336448 -27.6978 -26.7088
KIDS_339p8_m27p2 339.252336448 340.373831775 -27.6978 -26.7088
KIDS_340p9_m27p2 340.373831775 341.495327103 -27.6978 -26.7088
KIDS_342p1_m27p2 341.495327103 342.61682243 -27.6978 -26.7088
KIDS_343p2_m27p2 342.61682243 343.738317757 -27.6978 -26.7088
KIDS_344p3_m27p2 343.738317757 344.859813084 -27.6978 -26.7088
KIDS_345p4_m27p2 344.859813084 345.981308411 -27.6978 -26.7088
KIDS_346p5_m27p2 345.981308411 347.102803739 -27.6978 -26.7088
KIDS_347p7_m27p2 347.102803739 348.224299066 -27.6978 -26.7088
KIDS_348p8_m27p2 348.224299066 349.345794393 -27.6978 -26.7088
KIDS_349p9_m27p2 349.345794393 350.46728972 -27.6978 -26.7088
KIDS_351p0_m27p2 350.46728972 351.588785046 -27.6978 -26.7088
KIDS_352p1_m27p2 351.588785046 352.710280373 -27.6978 -26.7088
KIDS_353p3_m27p2 352.710280373 353.8317757 -27.6978 -26.7088
KIDS_354p4_m27p2 353.8317757 354.953271028 -27.6978 -26.7088
KIDS_355p5_m27p2 354.953271028 356.074766356 -27.6978 -26.7088
KIDS_356p6_m27p2 356.074766356 357.196261682 -27.6978 -26.7088
KIDS_357p8_m27p2 357.196261682 358.317757009 -27.6978 -26.7088
KIDS_358p9_m27p2 358.317757009 359.439465628 -27.6978 -26.7088
KIDS_0p0_m27p2 359.439465628 0.5607476635 -27.6978 -26.7088
KIDS_1p1_m26p2 0.5555555555 1.6666666665 -26.7088 -25.7198
KIDS_2p2_m26p2 1.6666666665 2.7777777775 -26.7088 -25.7198
KIDS_3p3_m26p2 2.7777777775 3.8888888885 -26.7088 -25.7198
KIDS_4p4_m26p2 3.8888888885 5 -26.7088 -25.7198
KIDS_5p6_m26p2 5 6.1111111115 -26.7088 -25.7198
KIDS_6p7_m26p2 6.1111111115 7.2222222225 -26.7088 -25.7198
KIDS_7p8_m26p2 7.2222222225 8.3333333335 -26.7088 -25.7198
KIDS_8p9_m26p2 8.3333333335 9.4444444445 -26.7088 -25.7198
